material_type,material_cost_per_kg,quantity,machine_hours,machine_rate_per_hr,labor_hours,labor_rate_per_hr,energy_consumption_kWh,energy_rate_per_kWh,overhead_cost,defect_rate,inventory_time_days,inventory_cost_per_day,total_cost
Plastic,3.19,219.09,48.81,71.06,1.93,17.41,375.24,0.28,831.81,3.23,103,16.86,6896.97
Copper,9.74,159.35,6.71,38.58,13.43,24.76,195.69,0.24,336.52,10.73,85,11.61,3680.34
Copper,5.09,255.54,1.34,86.33,12.11,13.83,158.36,0.16,252.51,12,112,1.59,2195.87
Steel,3.46,222.56,38.62,95.24,8.6,37.04,235.08,0.06,277.38,5.19,80,9.77,5879.82
Plastic,24.77,57.3,40.45,89.64,8.73,14.3,410.8,0.06,514.33,2.59,111,9.79,6832.53
Brass,9.41,322.21,6.45,76.52,15.81,36.35,465.66,0.22,749.17,0.04,85,11.33,5916.12
Plastic,20.63,111.94,13.65,34.97,4.32,8.62,277.09,0.28,513.15,6.76,97,13.75,4904.5
Brass,7.86,311.7,1.37,35.35,16.49,27.98,334.12,0.21,86.44,5.29,61,1.37,3329.56
Steel,17.67,326.85,15.02,96.7,13.15,36.74,452.6,0.3,729.11,8.32,7,10.54,9130.19
Aluminum,19.49,80.25,38.77,10.93,8.67,10.91,58.29,0.06,809.85,2.82,112,12.18,4304.03
Copper,15.7,35.37,26.14,74.44,9.43,38.89,123.72,0.16,303.71,12.89,44,7.52,3593.87
Steel,12.85,391.48,17.73,73.56,5.5,20.85,357.36,0.12,670.84,3.87,17,13.7,7590.72
Copper,11.47,232.6,18.9,66.04,15.17,38.1,413.63,0.18,438.06,3.4,87,5.34,5561.86
Titanium,10.02,33.79,0.57,99.11,10.5,28.69,429.94,0.07,891.34,7.21,59,7.03,2056.93
Aluminum,23.38,497.46,15.34,38.07,6.76,15.56,213.4,0.34,848.32,7.48,117,19.29,16367.57
Aluminum,21.1,33.6,32.5,40.6,12.12,11.59,53.78,0.12,534.92,3.23,59,7.61,3182.19
Steel,24.2,349.04,48.72,17.1,19.92,15.63,224.51,0.33,697.68,4.08,105,7.58,11503.53
Aluminum,4.86,491.92,42.43,49.85,8.99,8.26,123.06,0.18,885.68,2.55,1,12.32,5561.24
Brass,18.81,123.39,1.67,33.49,18.45,10.04,152.69,0.35,505.8,10.78,65,19.45,4635.82
Aluminum,23.58,75.41,44.98,40.9,7.23,8.66,388.41,0.22,326.99,11.55,90,19.68,6069.48
Copper,6.17,65.09,39.27,85.11,1.57,19.8,47.01,0.33,758.59,6.93,13,12.01,4733.03
Copper,3.53,155.12,39.13,94.19,4.48,32.85,415.51,0.05,235.66,10.71,47,1.02,4743.42
Copper,19.05,55.02,23.17,26.72,8.66,9.95,219.56,0.27,400.76,11.04,102,18.11,4176.38
Copper,15.21,347.62,20.2,43.53,4.78,9.56,302.07,0.32,868.41,2.07,116,11.83,8659.1
Brass,21.36,35.83,15.49,93.58,0.5,27.52,53.93,0.09,729.93,14.49,116,7.95,3996.52
Plastic,5.21,257.16,3.75,15.56,18.34,11.9,175.31,0.08,415.73,12.32,55,16.75,3132.47
Titanium,20.29,498.36,11.8,18.31,16.96,8.42,53.95,0.18,230.45,3.07,11,8.6,11115.78
Steel,6.64,407.92,12.71,24.65,14.97,10.84,481.16,0.33,368.85,2.79,95,1.65,3944.12
Copper,5.76,309.53,24.46,63.57,3.77,37.33,405.56,0.21,298.42,1.88,91,16.6,5406.26
Aluminum,5.78,156.6,37.5,23.54,2.85,33.75,235.22,0.21,192.57,2.08,54,11.37,2758.86
Copper,20.74,313.83,23.95,97.13,1.82,17.39,119.57,0.09,748.47,11.22,27,7.42,10556.61
Aluminum,17.3,265.89,3.36,50.2,14.62,27.95,467.39,0.05,267.03,7.04,109,5.77,6420.36
Titanium,14.03,215.91,47.91,55.14,18.61,23.8,178.85,0.29,465.08,11.74,88,12.28,8067.11
Titanium,10.25,69.7,47.16,32.2,8.9,28.7,88.88,0.08,398.14,11.19,3,4.95,2988.45
Titanium,22.18,443.87,39.37,52.39,2.82,28.89,285.95,0.24,982.44,9.07,89,7.15,14569.46
Aluminum,11.03,227.64,49.57,69.57,10.49,27.01,472.45,0.32,403.27,10.3,35,13.09,7514.01
Copper,20.78,101.34,27.45,77.61,7.3,14.31,11.88,0.11,98.38,0.28,49,17.75,5316.04
Titanium,12.1,187.04,48.16,77.85,7.81,6.37,126.68,0.25,108.03,4.68,2,11.12,6330.05
Brass,10.67,209.99,4.24,62.01,12.62,20.94,469.84,0.07,598.94,9.57,0,15.42,3614.03
Aluminum,12.64,414.63,18.6,91.39,14.52,36.18,93.83,0.23,607.38,0.14,16,15.5,8350.41
Aluminum,8.93,368.14,11.66,83.57,2.66,24.93,65.49,0.1,430.38,0.49,70,13.62,5734.67
Copper,19.2,385.81,10.19,78.13,1.19,34.13,289.39,0.27,443.21,12.78,61,5.67,10058.21
Aluminum,13.56,10.46,7.47,15,19.89,39.71,432.3,0.14,72.85,10.26,47,17.47,2012.73
Aluminum,7.34,211,31.31,10.62,5.04,10.73,243.78,0.19,526.22,3.98,61,9.29,3136.2
Titanium,22.69,243.27,39.18,29.12,1.55,29.21,497.34,0.23,514.64,10.32,68,1.84,8029.78
Copper,10.83,14.5,29.13,69.72,4.2,28.6,342.79,0.1,166.56,11.89,18,5.65,2629.31
Titanium,14.5,133.61,7.77,47.01,1.26,39.3,46.3,0.27,121.76,4.6,102,15.55,4161.61
Titanium,22.85,381.34,40.65,46.22,8.14,39.5,496.49,0.14,141.1,0.54,109,2.31,11423.44
Copper,16.36,72.87,31.98,89.61,16.15,29.03,209.87,0.25,119.01,13.99,33,3.8,4990.38
Steel,4.69,269.98,19.71,90.6,7.15,13.53,150.83,0.1,617.51,5.18,98,14.19,5237.47
Titanium,23.62,111.52,33.87,91.83,9.16,32.95,283.36,0.26,212.55,1.6,48,17.96,7236.66
Brass,16.44,11,13.37,38.25,13.67,8.75,159.11,0.09,266.4,7.38,79,13.04,2136.08
Brass,9.7,124.39,17.59,72.2,10.42,32.32,52.36,0.18,190.1,11.53,103,5.22,3689.66
Aluminum,5.2,488.06,45.92,34.45,17.3,36.86,10.7,0.12,958.68,3.32,113,2.01,6028.89
Brass,20.26,401.76,14.88,27.15,17.39,18.4,230.3,0.27,857.53,4.04,46,12.69,10695.92
Aluminum,16.26,479.99,23.76,26.62,0.69,27.07,420.06,0.13,245.88,3.64,102,1.9,9234.18
Steel,14.27,246.49,44.56,40.79,15.67,20.05,290.43,0.31,341.01,14.88,90,12.64,7741.23
Copper,22.56,59.32,35.53,48.7,9.48,20.32,499.61,0.32,225.69,2.96,104,5.29,4236.54
Copper,20.14,276.24,3.58,84.79,19.78,15.86,150.55,0.11,502.04,8.63,101,18.19,9016.65
Copper,5.49,229.92,7.79,20.79,9.92,31.67,147.42,0.23,39.22,13.88,113,10.03,3120.1
Brass,9.17,422.96,0.89,76.14,19.74,37.77,88.28,0.08,677.94,2.2,49,5.25,5719.47
Steel,7.72,53.55,31.73,57.83,15.21,37.93,90.39,0.17,532.69,14.56,88,17.21,4948
Brass,19.11,246.68,22.66,35.92,5.35,11.12,149.74,0.26,900.67,14.21,25,5.83,7342.71
Brass,2.77,79.27,7.15,54.35,11,35.62,398.49,0.25,181.1,13.27,55,6.83,1685.51
Steel,15.11,165.71,47.92,36.99,19.85,30.81,453.82,0.24,808.03,3.22,77,16.85,7183.04
Steel,19.54,369.99,26.72,63.65,17.22,13.85,487.79,0.13,796.12,9.51,13,6.87,10805.21
Steel,22.17,240.63,12.47,49.05,2.4,7.35,123.82,0.16,144.64,11.41,77,8.79,7414.04
Steel,9.87,191.06,25.28,24.8,14.27,14.38,441.84,0.08,410.59,14.79,24,7.61,3625.39
Copper,20.89,200.27,34.14,20.49,7.24,36.93,170.84,0.27,186.75,2.71,99,3.21,5814.59
Plastic,4.54,232.43,4.27,59.2,0.64,27.16,65.29,0.2,269.63,11.49,3,1.74,1734.55
Plastic,21.47,393.58,14.1,91.22,8.37,30.24,436.31,0.26,277.98,5.08,110,14.77,12434.86
Steel,4.93,446.58,40.44,40.96,5.08,14,321.69,0.12,565.11,2.63,78,13.26,5625.08
Plastic,11.14,477.89,23.25,75.97,16.47,30.18,90.72,0.15,423.18,6.32,31,6.36,8557.47
Plastic,20.34,394.52,27.56,69.28,7.08,5.98,220.62,0.15,948.78,11.91,81,6.62,12450.05
Steel,5.45,161.13,21.92,93.84,16.64,18.14,150.76,0.06,143.84,6.97,77,18.96,4910.99
Plastic,7.27,345.63,2.67,83.89,0.51,26.94,371.03,0.15,974.22,8.06,64,19.77,5248.14
Brass,18.61,221.61,8.7,60.99,6.5,10.11,232.17,0.29,246.03,14.93,105,10,6699.59
Aluminum,18.56,131.06,22.55,69.13,5.2,33.81,494.75,0.32,777.42,5.99,60,16.25,6223.61
Aluminum,16.75,421.23,10.85,90.85,5.05,13.23,36.83,0.21,352.19,9.23,19,15,9404.29
Steel,17.96,24.02,2.97,45.96,1.83,27.83,183.96,0.19,160.22,5.48,73,6.65,1323.09
Copper,14.48,451.37,42.26,39.41,4.15,19.18,246.13,0.06,860.73,5.89,9,2.11,9560.35
Steel,7.79,233.43,49.07,10.97,11.33,25.86,256.54,0.31,322.68,10.43,87,3.71,3564.35
Copper,9.95,320.41,39.76,84.39,6.18,8.76,164.81,0.05,665.68,14.07,33,16.93,8278.74
Aluminum,6.18,331.38,42.76,82.09,8.64,5.59,367.33,0.33,575.11,8.14,60,14.89,7362.82
Steel,22.89,448.08,12.48,19.4,7.85,36.83,438.63,0.2,482.32,11.53,91,13.62,13779.83
Titanium,15.42,320.15,48.05,61.92,17.58,14.44,469.97,0.15,505.9,1.34,26,3.48,8898.85
Brass,11.22,308.9,10.25,51.76,18.15,33.69,404.5,0.33,737.59,3.17,39,13.16,6102.05
Plastic,12.63,37.99,47.6,20.68,10.11,39.98,426.78,0.06,106.02,7.53,64,15.67,3039.02
Copper,23.79,261.61,49.74,98.25,6.94,12.4,279.77,0.22,674.82,0.3,32,17.35,12506.95
Titanium,5.53,79.33,35.73,29.32,2.58,14.28,414.69,0.21,897.9,3.79,67,1.25,2608.5
Plastic,15.48,370.03,49.07,16.05,19.09,28.2,158.72,0.12,76.63,7.76,70,14.01,8574.85
Plastic,13.64,258.55,28.69,63.54,1.67,38.79,205.25,0.18,157.84,0.22,8,1.36,5627.79
Steel,16.06,341.71,13.35,76.5,6.3,37.05,165.29,0.25,722.3,3.97,15,14.43,7940.49
Plastic,2.42,25.63,22.13,12.92,6.31,22.6,239.02,0.27,448.54,7.71,4,13.08,1060.73
Brass,22.06,46.97,29.88,69.28,6.75,32.83,149.93,0.05,415.48,8.6,97,3.82,4210.47
Titanium,23.44,359.58,4.12,57.91,3.7,9.75,481.19,0.33,154.23,13.89,22,15.56,10529.29
Plastic,15,40.68,31.31,19.29,15.77,39.21,163.29,0.1,516.63,9.68,42,2.3,2521.14
Steel,18.02,40.27,49.07,25.53,2.89,38.75,58.04,0.12,144.01,6.22,113,16.7,4173.62
Brass,23.22,10.99,9.91,61.12,12.88,10.73,268.14,0.13,487.09,13.96,88,5.98,2082.9
Aluminum,18.27,478.47,39.73,36.67,2.91,15.48,37.98,0.06,768.34,11.77,56,14.09,12832.14
Titanium,5.51,370.07,45.44,94.45,1.88,8.51,64.17,0.09,273.1,3,50,18.55,7614.44
Plastic,15.25,179.86,47.21,83.69,18.23,14.51,117.5,0.35,491.17,1.96,12,7.46,7633.96
Steel,15.95,151.79,48.03,98.52,4.21,33.56,237.53,0.14,992.18,10.14,23,10.55,8807.83
Aluminum,11.76,178.1,26.31,33.37,16.51,18.24,222.29,0.08,692.92,8.4,10,9.8,4258.2
Aluminum,18.94,388.45,48.88,97.28,11.12,8.09,401.85,0.08,844.53,11.85,51,3.99,14154.25
Copper,23.49,332.38,37.99,48.81,2.02,16.98,372.34,0.27,426.55,11.08,114,12.22,12481.44
Brass,23.29,96.67,8.5,41.28,19.13,39.35,218.9,0.31,772.5,9.38,16,15.12,4648.55
Plastic,12.37,91.18,24.11,14.53,5.32,27.04,173.52,0.13,59.7,14.8,36,18.42,2534.37
Steel,4.6,53.71,36.06,14.75,17.26,19.57,165.07,0.06,140.45,8,12,17.17,1492.89
Copper,24.65,331.85,12.74,72.28,3.79,10.83,389.26,0.12,219.01,1.7,61,10.69,10198.87
Brass,21.29,383.36,32.21,51.21,17.15,39.52,35.52,0.07,413.91,12.42,90,14.66,13238.46
Copper,4.87,136.2,33.5,30.39,0.76,33.73,16.28,0.08,848.83,3.78,83,16.21,3927.63
Titanium,23.18,15.37,8.55,65.26,10.48,14.85,399.82,0.18,359.34,11.66,96,10.38,2539.21
Brass,22.01,45.67,28.47,32.76,15.5,7.45,243.8,0.12,661.53,14.36,105,3.19,3223.43
Brass,13.93,484.09,38.7,61.99,18.73,6.98,74.13,0.2,715.13,10.45,95,9.32,11593.16
Plastic,15.6,151.25,25.2,42.33,18.23,9.21,125.43,0.13,594.46,8.94,7,17.01,4534.89
Brass,11.18,385.77,1.1,84.12,16.48,25.33,466.93,0.33,370.1,6.91,55,12.34,6323.79
Copper,3.26,314.21,0.95,83.86,17.82,37.51,431.16,0.32,585.51,5.47,92,14.76,3909.85
Brass,9.71,194.06,18.17,52.96,4.38,22.39,357.79,0.22,355.42,5.3,103,4.52,3944.24
Plastic,20.47,106.82,46.35,41.57,6.04,34.5,246.29,0.16,102.2,9.55,82,19.32,6256.42
Plastic,2.11,65.09,11.82,42.63,6.13,20.61,264.96,0.16,992.95,11.27,69,8.68,2417.31
Titanium,9.67,309.43,31.9,82.51,7.85,29.8,487.87,0.17,144.64,10.18,43,13.42,6967.43
Copper,11.16,388.44,11.49,39.54,8.17,30.62,483.23,0.27,90.9,2.98,59,1.36,5470.27
Aluminum,14.36,323.73,16.42,28.82,11.12,11.09,115.48,0.19,880.96,7.41,102,3.42,6841.52
Aluminum,23.16,267.5,42.48,17.62,3.62,17.64,407.44,0.31,315.8,11.87,111,15.86,9945.6
Brass,9.97,25.77,36.58,52,13.98,27.31,106.65,0.33,657.29,7.14,40,19.39,4027.31
Titanium,9.98,484.4,5.22,53.39,3.77,7.47,114.63,0.15,342.43,8.05,20,7.08,6031.56
Steel,18.96,400.36,21.72,85.68,6.55,17.65,341.29,0.22,403.63,11.57,85,1.71,11069.73
Brass,12.4,149.95,1.94,29.91,10.32,23.72,208.45,0.08,276.87,9.92,41,7.86,2962.45
Titanium,7.17,490.09,24.3,44.29,16.03,39.87,466.46,0.11,356.18,6.14,73,1.33,5949.65
Copper,12.41,302.93,33.29,82.76,14.92,21.61,53.61,0.17,422.49,13.43,73,4.66,8113.53
Copper,5.24,293.3,6.37,84.13,13.09,33.56,260.65,0.11,726.01,2.44,115,15.3,5063.78
Copper,6.06,375.3,14.8,44.61,3.54,20.12,460.08,0.31,521.31,14.93,28,18.8,4535.66
Copper,13.46,406.83,20.19,51.32,11.17,32.87,453.02,0.1,944.69,1.78,79,2.66,8176.84
Copper,11.64,329.96,46.02,37.3,2.21,25.84,86.7,0.19,61.04,0.22,64,11.6,6442.75
Titanium,23.04,68.41,49.67,93.93,7.86,36.03,189.65,0.23,513.01,13.35,16,5.82,7385.03
Titanium,10.34,172.44,2.72,20.68,8.56,19.38,313.37,0.26,592.54,3.67,29,3.64,2850.19
Plastic,15.35,464.4,38.17,94.04,1.28,26.15,88.1,0.16,921.79,10.95,25,5.16,12596.98
Aluminum,16.54,116.18,18.9,71.55,5.84,27.05,484.33,0.31,68.18,12.17,52,11.98,4507.03
Copper,2.3,189.22,19.93,57.84,19.14,19.61,458.23,0.22,582.03,12.88,109,2.24,2946.35
Steel,17.26,218.88,37.84,12.94,19.1,10.05,91.81,0.18,856.56,14.87,18,9.25,6060.83
Titanium,6.09,222.51,45.96,52.8,7.37,8.27,69.37,0.07,257.09,4.41,52,3.57,4350.07
Steel,24.1,308.41,47.57,46.7,1.34,5.58,51.85,0.19,878.77,10.65,84,6.18,11861
Steel,5.42,471.82,29.07,24.51,3.99,35.57,455.63,0.3,38.66,1.73,16,4.62,3705.2
Steel,11.54,124.14,18.18,69.08,8.15,13.28,104.88,0.23,737.81,6.1,45,17.78,4446.1
Plastic,3.96,65.14,39.48,97.4,18.98,12.4,213.98,0.3,934.45,12.72,103,14.45,6858.46
Titanium,24.93,102.75,12.92,60.6,3.25,30.76,229.94,0.2,664.05,5.51,84,17.5,5765.66
Steel,13.55,444.03,28.42,74.33,15.39,16.2,303.52,0.09,450.25,8.87,52,8.29,9820.7
Copper,15.69,324.68,18.25,16.16,2.62,22.71,45.15,0.05,63.98,7.56,104,6.95,6622.81
Brass,3.54,146.52,33,47.59,19.63,10.69,121.11,0.14,921.71,9.69,103,8.23,4135.61
Steel,19.25,408.89,12.4,20.47,7.94,38.59,466.43,0.26,480.89,14.59,63,1.35,10266.98
Plastic,6.83,431.38,9.98,65.15,15.62,34.81,455.12,0.29,48.42,0.84,44,14.77,4995.29
Titanium,22.66,424.02,45.95,94.46,7.18,35.23,392.83,0.14,696.02,8.61,48,7.65,16147.17
Plastic,6.72,459.87,5.54,69.56,12.74,19.24,19.51,0.2,492.2,12.95,18,6.95,4742.21
Steel,6.39,129.86,25.54,16.91,4.24,31.68,170.23,0.18,141.86,7.22,70,12.36,2493.62
Titanium,2.84,378.75,11.43,41.92,3.35,10.04,317.7,0.17,229.99,1.18,80,9.29,2628.32
Brass,12.86,232.97,2.43,59.56,18.79,5.3,144.84,0.12,83.2,8.41,64,19.64,4849.82
Steel,14.99,421.79,2.28,46.29,18.39,5.7,455.7,0.09,582.81,4.98,36,7.77,7751.41
Plastic,3.51,365.6,9.17,85.03,17.81,25.53,320.61,0.11,629.59,2.32,69,12.66,4085.84
Aluminum,19.84,389.34,43.41,83.32,12.7,20.94,45.23,0.07,515.63,12.74,25,6.92,13283.26
Copper,12.43,329.8,14.48,65.06,16.26,23.13,455.41,0.11,820.76,7.82,1,19.82,6628.83
Plastic,14.06,92.83,47.55,43.61,1.85,5.26,479.31,0.05,863.79,14,58,9.46,5007.74
Titanium,12.14,274.79,29.29,32.98,7.03,19.79,48.08,0.24,623.31,12.09,95,13.05,6718.97
Steel,11.22,492.41,22.11,19.53,6.62,30.13,270.86,0.14,32.5,10.39,111,3.41,7179.07
Copper,14.87,469.01,29.21,41.94,12.9,20.49,158.65,0.34,701.33,0.08,117,14.93,10971.23
Steel,5.57,26.37,26.08,47.19,7.44,30.63,202.49,0.11,429.64,6.42,4,6.11,2091.27
Titanium,6.18,86.58,38.06,70.82,3.4,13.16,98.03,0.15,574.25,2.96,36,9.52,4222.73
Steel,21.82,70.21,14.48,69.23,12.13,33.46,293.26,0.16,656.1,13.66,30,17.78,4385.99
Aluminum,23.76,364.36,17.98,16.31,16.38,25.6,479.41,0.05,363.23,2.62,75,19.44,11441.79
Copper,10.59,409.8,44.76,45.57,7.95,12.38,256.51,0.3,918.76,4.29,98,9.07,8548.67
Copper,8.23,110.69,47.35,26.36,3.08,13.29,50.63,0.06,151.3,7.75,93,16.86,3992.98
Titanium,16.81,255.4,44.68,24.11,4.34,26.98,313.8,0.33,678.08,3.95,47,2.01,6533.29
Aluminum,11.4,421.15,21.26,84.46,5.13,34.05,176.71,0.32,24.27,3.15,5,17.1,7088.96
Plastic,2.58,367.74,39.13,13.77,6.35,19.55,429.4,0.21,926.16,8.99,14,12.96,2894.8
Steel,5.59,273.41,24.08,47.73,13.03,14.04,222.99,0.21,130.25,1.33,14,10.29,3202.11
Brass,18.47,297.22,25.13,25.14,12.22,35.35,104.49,0.25,112.99,0.87,60,17.91,7814.87
Steel,17.16,256.64,10.63,89.14,14.07,28.42,103.64,0.17,346.35,5.58,15,17.06,6616.98
Steel,2.62,152.29,29.76,60.13,7.57,20.68,386.69,0.24,386.09,10.81,19,6.64,2993.2
Plastic,7.11,284.69,9.71,30.82,16.57,22.08,140.14,0.06,230.01,8.32,76,16.04,4315.14
Steel,7.31,346,16.91,55.22,4.48,12.15,385.94,0.07,593.42,6.34,43,2.89,4422.52
Aluminum,17.45,437.29,42.82,75.83,9.65,26.94,110.88,0.19,454.06,8.49,41,16.63,12942.53
Aluminum,2.45,319.96,10.75,96.23,16.12,17.56,167.63,0.21,53.49,5.48,45,13.83,2855.44
Copper,4.39,381.76,4.02,29.84,4.01,39.85,238.09,0.32,333.26,14.04,94,2.67,2851.41
Titanium,20.4,84.24,3.92,89.76,2.64,21.81,472.17,0.08,814.22,0.82,33,13.98,3455.36
Brass,6.11,233.47,47.07,94.09,17.73,22.01,466.55,0.3,695.91,10.1,63,12.03,7983.4
Steel,17.01,9.62,25.59,92.48,7.19,24.8,111.37,0.11,730.37,13.37,28,12.3,3817.41
Steel,7.48,127.11,20.77,67.19,13.84,37.09,185.53,0.17,704.15,12.06,2,6.53,3723.06
Plastic,4.29,364.6,40.64,66.68,0.99,33.03,83.21,0.14,324.75,2.76,8,6.06,4734.76
Titanium,7.59,495.95,41.87,46.29,13.96,20.79,259.89,0.17,117.67,4.44,74,15.49,7467.9
Aluminum,18.61,54.09,16.94,77.72,6.66,30.15,235.69,0.1,287.02,10.76,74,5.88,3378.01
Brass,21.68,203.74,34.83,57.82,1.59,25.52,451.37,0.2,835.15,1.26,24,9.48,7680.13
Copper,21.1,401.04,38.67,70.97,12.39,22.23,465.7,0.29,980.86,12.18,85,14.2,14835.36
Aluminum,11.14,106,32.91,48.56,5.2,11.73,197.95,0.18,503.97,10.78,41,2.51,3609.75
Titanium,17.37,279.77,8,75.83,8.04,21.24,250.95,0.2,29.51,10.94,45,12.3,6801.86
Copper,6.71,367.87,43.86,84.2,2.07,13.6,449.16,0.3,157.24,1.5,72,12.2,7396.99
Plastic,8.74,309.91,27.19,23.18,3.37,37.02,405.29,0.26,335.64,10.77,83,14,5358.37
Plastic,22.62,98.07,14.48,84.96,6.31,16.74,11.79,0.2,587.01,10.2,58,8.03,4835.57
Steel,2.3,180.92,21.55,58.63,2.25,38.33,166.83,0.13,93.59,12.46,20,9.53,2123.56
Titanium,3.97,392.98,2.36,86.02,18.26,23.66,216.67,0.32,944.49,0.62,73,7.27,3749.38
Brass,6.78,279.34,6.83,48.82,0.62,27.1,122.56,0.22,377.78,0.35,21,16.36,2999.1
Copper,2.61,7.59,38.39,44.11,9.94,24,107.79,0.12,914.33,5.6,28,3.48,2977.57
Aluminum,6.17,381.69,0.5,92.36,2.9,9.53,28.51,0.13,784.91,2.23,62,19.3,4466.58
Titanium,15.41,22.48,21.12,32.61,6.5,18.15,325.25,0.29,760.33,8.38,72,13.06,2977.12
Titanium,11.69,374.14,26.36,85.98,18.56,8.47,138.63,0.06,614.59,13.76,60,17.85,9093.06
Plastic,22.53,105.23,3.2,53.56,3.65,26.8,35.65,0.35,634.25,5.87,63,9.1,3999.24
Steel,20.8,479.25,48.67,56.27,19.33,20.64,123.18,0.09,645.24,12.67,68,7.31,15522.43
Steel,9.86,187.13,11.69,37.76,4.51,32.23,402.94,0.29,636.15,0,39,18.11,3891.17
Copper,7.97,166.83,15.56,61.57,14.96,12.72,427.23,0.17,562.65,2.53,74,2.88,3359.99
Plastic,10.73,78.7,15.55,39.27,11.16,10.76,246.7,0.2,986.69,0.46,0,3.23,2615.1
Titanium,15.58,156.27,11.91,13.53,17.75,19.22,213.87,0.31,737.64,4.92,116,6.69,4636.75
Brass,8.17,438.94,0.57,34.48,11.3,37.43,489.15,0.17,781.41,13.62,105,19.24,7401.95
